topic,keywords,label,title,summary
0,"['aurora', 'light', 'people', 'house', 'background', 'rock', 'sky', 'island', 'sit', 'walk']","Tópico sobre: aurora, light, people",Tema sobre Aurora,"Tópico basado en las palabras clave más frecuentes: aurora, light, people, house, background"
1,"['mountain', 'background', 'lake', 'rocky', 'beautiful', 'large', 'national', 'spectacular', 'banff', 'park']","Tópico sobre: mountain, background, lake",Tema sobre Mountain,"Tópico basado en las palabras clave más frecuentes: mountain, background, lake, rocky, beautiful"
2,"['city', 'toronto', 'background', 'skyline', 'beautiful', 'tower', 'building', 'view', 'canada', 'entertainment']","Tópico sobre: city, toronto, background",Tema sobre City,"Tópico basado en las palabras clave más frecuentes: city, toronto, background, skyline, beautiful"
3,"['waterfall', 'flag', 'canadian', 'fall', 'canada', 'maple', 'beautiful', 'leaf', 'national', 'border']","Tópico sobre: waterfall, flag, canadian",Tema sobre Waterfall,"Tópico basado en las palabras clave más frecuentes: waterfall, flag, canadian, fall, canada"
4,"['lake', 'blue', 'water', 'beautiful', 'forest', 'snow', 'river', 'background', 'tree', 'snowy']","Tópico sobre: lake, blue, water",Tema sobre Lake,"Tópico basado en las palabras clave más frecuentes: lake, blue, water, beautiful, forest"
